idbase,arrondissement,adresse,genre,espece,latitude,longitude
165069,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 33,Prunus,,48.9047185,2.4043195
257473,PARIS 20E ARRDT,RUE DURIS,Prunus,serrulata,48.8660911,2.3871855
308125,PARIS 8E ARRDT,JARDINS DES CHAMPS ELYSEES - CARRE DES FETES / 3 AVENUE DU GENERAL EISENHOWER,Prunus,x subhirtella,48.8675117,2.3122070
2045204,PARIS 17E ARRDT,COLLEGE LA ROSE BLANCHE / 34 RUE MARIE GEORGES PICQUART,Prunus,x yedoensis,48.8891906,2.3098012
2045777,PARIS 8E ARRDT,JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES,Prunus,avium,48.8675478,2.3180993
132248,PARIS 5E ARRDT,JARDIN TINO ROSSI / 2B QUAI SAINT BERNARD,Prunus,serrulata,48.8455289,2.3638234
228319,PARIS 14E ARRDT,AVENUE DE LA SIBELLE,Prunus,x subhirtella,48.8248153,2.3379411
2029021,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,x yedoensis,48.8935004,2.3968036
164483,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 30,Prunus,avium,48.7630285,2.3743384
247202,PARIS 14E ARRDT,RUE DE GERGOVIE,Prunus,,48.8334596,2.3153109
2041276,PARIS 19E ARRDT,RUE EDOUARD PAILLERON,Prunus,avium,48.8811175,2.3785404
165036,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 39,Prunus,,48.9042200,2.4051752
227476,PARIS 12E ARRDT,RUE DE RAMBOUILLET,Prunus,,48.8446896,2.3824792
164567,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 34,Prunus,avium,48.7643987,2.3791073
2021535,PARIS 17E ARRDT,RUE RENE BLUM,Prunus,avium,48.8917097,2.3169193
189150,PARIS 19E ARRDT,ECOLE MATERNELLE / 6 PASSAGE DE THIONVILLE,Prunus,,48.8881931,2.3822672
136007,PARIS 15E ARRDT,SQUARE JEAN COCTEAU / 122 AVENUE FELIX FAURE,Prunus,serrulata,48.8384934,2.2803447
191247,PARIS 2E ARRDT,ECOLE POLYVALENTE / 20 RUE ETIENNE MARCEL,Prunus,,48.8644943,2.3482311
125863,PARIS 14E ARRDT,PARC MONTSOURIS / 28 BOULEVARD JOURDAN,Prunus,,48.8205972,2.3386045
168166,PARIS 18E ARRDT,CIMETIERE DE MONTMARTRE / DIV 19,Prunus,,48.8866723,2.3317193
127411,PARIS 17E ARRDT,PROMENADE BERNARD LAFAY PR B2,Prunus,serrulata,48.8875724,2.2899794
